Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2009-10,20,OKC,NBA,SG,76,0,1738,4.8,12,0.403,1.9,5.1,0.375,2.9,6.8,0.424,0.484,4,5,0.808,1,4.1,5.1,2.8,1.7,0.4,2.2,4.1,15.6,
2010-11,21,OKC,NBA,SG,82,5,2189,4.9,11.2,0.436,1.9,5.3,0.349,3,5.9,0.514,0.518,4.8,5.6,0.843,0.7,3.5,4.2,2.9,1.5,0.4,1.7,3.4,16.4,6MOY-7
2011-12,22,OKC,NBA,SG,62,2,1946,5.7,11.6,0.491,2.1,5.4,0.39,3.6,6.2,0.579,0.582,5.8,6.8,0.846,0.6,4.1,4.7,4.2,1.1,0.3,2.5,2.8,19.3,6MOY-1
2012-13,23,HOU,NBA,SG,78,78,2985,7.1,16.1,0.438,2.2,5.9,0.368,4.9,10.3,0.477,0.504,8.1,9.6,0.851,0.7,3.8,4.6,5.5,1.7,0.5,3.6,2.1,24.4,"MVP-8,AS,NBA3"
2013-14,24,HOU,NBA,SG,73,73,2777,7.1,15.6,0.456,2.3,6.3,0.366,4.8,9.4,0.515,0.529,7.5,8.6,0.866,0.8,3.7,4.5,5.8,1.5,0.4,3.4,2.3,24,"MVP-5,AS,NBA1"
2014-15,25,HOU,NBA,SG,81,81,2981,7.8,17.8,0.44,2.5,6.7,0.375,5.3,11,0.48,0.511,8.6,10,0.868,0.9,4.6,5.5,6.8,1.9,0.7,3.9,2.5,26.8,"MVP-2,AS,NBA1"
2015-16,26,HOU,NBA,SG,82,82,3125,8.2,18.6,0.439,2.7,7.6,0.359,5.5,11.1,0.494,0.512,8.3,9.6,0.86,0.7,5,5.8,7.1,1.6,0.6,4.3,2.6,27.4,"MVP-9,AS"
2016-17,27,HOU,NBA,PG,81,81,2947,8.2,18.7,0.44,3.2,9.2,0.347,5,9.5,0.53,0.525,9.1,10.8,0.847,1.2,6.9,8.1,11.1,1.5,0.5,5.7,2.6,28.8,"MVP-2,AS,NBA1"
2017-18,28,HOU,NBA,SG,72,72,2551,9.2,20.4,0.449,3.7,10.2,0.367,5.4,10.3,0.531,0.541,8.8,10.3,0.858,0.6,4.9,5.5,8.9,1.8,0.7,4.4,2.4,30.9,"MVP-1,AS,NBA1"
2018-19,29,HOU,NBA,PG,78,78,2867,10.6,24,0.442,4.7,12.9,0.368,5.8,11.1,0.528,0.541,9.5,10.8,0.879,0.8,5.7,6.5,7.4,2,0.7,4.9,3.1,35.4,"MVP-2,AS,NBA1"
2019-20,30,HOU,NBA,SG,68,68,2483,9.7,22,0.444,4.3,12.2,0.355,5.4,9.7,0.556,0.543,10,11.6,0.865,1,5.5,6.5,7.4,1.8,0.9,4.5,3.3,33.9,"MVP-3,AS,NBA1"
2020-21,31,2TM,NBA,PG,44,43,1609,7.7,16.4,0.466,2.7,7.5,0.362,4.9,8.9,0.553,0.548,6.2,7.2,0.861,0.8,7,7.8,10.6,1.2,0.7,4,2.2,24.2,"MVP-13,AS"
2020-21,31,HOU,NBA,PG,8,8,290,7.4,16.8,0.444,3.1,8.9,0.347,4.3,7.8,0.556,0.537,6.6,7.4,0.883,0.6,4.5,5.1,10.3,0.9,0.7,4.2,1.7,24.6,
2020-21,31,BRK,NBA,PG,36,35,1319,7.7,16.3,0.471,2.6,7.2,0.366,5.1,9.2,0.552,0.551,6.1,7.2,0.856,0.8,7.6,8.4,10.7,1.3,0.7,3.9,2.3,24.2,
2021-22,32,2TM,NBA,PG,65,65,2419,6.1,14.8,0.41,2.2,6.7,0.33,3.9,8.1,0.476,0.485,7,8,0.877,0.8,6.6,7.4,9.9,1.2,0.5,4.2,2.3,21.3,AS
