Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2007-08,19,SEA,NBA,SG,80,80,2768,7.6,17.8,0.43,0.8,2.7,0.288,6.9,15.1,0.455,0.451,5.1,5.8,0.873,0.9,3.6,4.5,2.5,1,1,3,1.6,21.1,ROY-1
2008-09,20,OKC,NBA,SF,74,74,2885,8.2,17.3,0.476,1.2,2.9,0.422,7,14.5,0.486,0.51,5.6,6.5,0.863,1,5.1,6,2.6,1.2,0.7,2.8,1.7,23.3,
2009-10,21,OKC,NBA,SF,82,82,3239,8.8,18.5,0.476,1.4,3.9,0.365,7.4,14.6,0.506,0.514,8.4,9.3,0.9,1.2,5.8,6.9,2.6,1.2,0.9,3,1.9,27.5,"MVP-2,AS,NBA1"
2010-11,22,OKC,NBA,SF,78,78,3038,8.4,18.2,0.462,1.7,4.9,0.35,6.7,13.3,0.504,0.509,7,8,0.88,0.7,5.6,6.3,2.5,1,0.9,2.6,1.9,25.6,"MVP-5,AS,NBA1"
2011-12,23,OKC,NBA,SF,66,66,2546,9.1,18.3,0.496,1.9,4.9,0.387,7.2,13.5,0.535,0.547,6.1,7.1,0.86,0.6,6.9,7.5,3.3,1.2,1.1,3.5,1.9,26.2,"MVP-2,AS,NBA1"
2012-13,24,OKC,NBA,SF,81,81,3119,8.4,16.5,0.51,1.6,3.9,0.416,6.8,12.7,0.539,0.559,7.8,8.7,0.905,0.5,6.9,7.4,4.3,1.3,1.2,3.2,1.7,26.3,"MVP-2,AS,NBA1"
2013-14,25,OKC,NBA,SF,81,81,3122,9.8,19.5,0.503,2.2,5.7,0.391,7.6,13.8,0.549,0.56,8.1,9.3,0.873,0.7,6.2,6.9,5.1,1.2,0.7,3.3,2,29.9,"MVP-1,AS,NBA1"
2014-15,26,OKC,NBA,SF,27,27,913,9.4,18.4,0.51,2.5,6.3,0.403,6.9,12.1,0.565,0.578,5.8,6.7,0.854,0.6,6.4,7,4.3,0.9,1,2.9,1.6,27,AS
2015-16,27,OKC,NBA,SF,72,72,2578,9.7,19.3,0.505,2.6,6.7,0.387,7.1,12.6,0.569,0.573,6.2,7,0.898,0.6,7.6,8.2,5,1,1.2,3.5,1.9,28.3,"MVP-5,AS,NBA2"
2016-17,28,GSW,NBA,PF,62,62,2070,9.6,17.8,0.537,2,5.4,0.375,7.5,12.4,0.608,0.594,5.8,6.7,0.875,0.7,8.2,8.9,5.2,1.1,1.7,2.4,2,27,"MVP-9,AS,NBA2"
2017-18,29,GSW,NBA,SF,68,68,2325,9.8,18.9,0.516,2.7,6.4,0.419,7.1,12.5,0.565,0.586,5.6,6.3,0.889,0.5,6.7,7.2,5.7,0.8,1.8,3.2,2.1,27.7,"MVP-7,DPOY-9,AS,NBA1"
2018-19,30,GSW,NBA,SF,78,78,2702,9.6,18.4,0.521,1.8,5.2,0.353,7.8,13.3,0.587,0.571,6,6.7,0.885,0.4,6.2,6.6,6.1,0.8,1.1,3,2.1,27,"MVP-8,AS,NBA2"
2019-20,Did not play - injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-21,32,BRK,NBA,PF,35,32,1157,10.1,18.8,0.537,2.6,5.9,0.45,7.4,12.9,0.577,0.608,6.5,7.4,0.882,0.4,7.3,7.7,6.1,0.8,1.4,3.7,2.2,29.3,AS
2021-22,33,BRK,NBA,PF,55,55,2047,10.2,19.6,0.518,2,5.3,0.383,8.1,14.3,0.568,0.57,6.5,7.2,0.91,0.5,6.6,7.2,6.2,0.8,0.9,3.4,2,28.9,"MVP-10,AS,NBA2"
2022-23,34,2TM,NBA,PF,47,47,1672,10.4,18.6,0.56,2,5,0.404,8.4,13.6,0.617,0.614,6.6,7.2,0.919,0.4,6.4,6.7,5.1,0.7,1.4,3.4,2.1,29.4,AS
2022-23,34,BRK,NBA,PF,39,39,1403,10.5,18.8,0.559,1.8,4.8,0.376,8.7,14,0.622,0.607,6.9,7.3,0.934,0.4,6.4,6.7,5.3,0.8,1.5,3.5,2.4,29.7,
2022-23,34,PHO,NBA,PF,8,8,269,9.8,17.1,0.57,2.9,5.5,0.537,6.8,11.6,0.586,0.656,5.4,6.4,0.833,0.4,6.4,6.8,3.7,0.3,1.3,2.7,0.9,27.8,
2023-24,35,PHO,NBA,PF,75,75,2791,9.7,18.5,0.523,2.2,5.2,0.413,7.5,13.3,0.567,0.581,4.7,5.5,0.856,0.5,5.9,6.4,4.9,0.9,1.2,3.1,1.7,26.2,"MVP-9,AS,NBA2"
2024-25,36,PHO,NBA,PF,62,62,2265,9.4,17.9,0.527,2.5,5.9,0.43,6.9,12,0.574,0.598,4.8,5.7,0.839,0.4,5.6,5.9,4.2,0.8,1.2,3,1.7,26.2,AS
2025-26,37,HOU,NBA,SF,57,57,2085,9.1,17.8,0.51,2.3,5.8,0.401,6.7,11.9,0.564,0.576,5.4,6,0.891,0.6,4.8,5.4,4.5,0.8,0.9,3.1,2,25.8,AS
,,,,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
18 Yrs,,,,,1180,1177,43322,9.2,18.3,0.502,1.9,5,0.39,7.3,13.4,0.544,0.555,6.3,7.2,0.882,0.6,6.1,6.8,4.3,1,1.1,3.1,1.9,26.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKC (9 Yrs),,,,,641,641,24208,8.8,18.2,0.483,1.7,4.5,0.38,7.1,13.7,0.517,0.53,6.8,7.8,0.882,0.8,6,6.7,3.5,1.2,1,3.1,1.8,26.1,
GSW (3 Yrs),,,,,208,208,7097,9.6,18.4,0.524,2.2,5.6,0.384,7.5,12.8,0.586,0.583,5.8,6.6,0.883,0.5,7,7.5,5.7,0.9,1.5,2.9,2.1,27.3,
PHO (3 Yrs),,,,,145,145,5325,9.6,18.2,0.527,2.4,5.5,0.427,7.2,12.6,0.571,0.592,4.8,5.6,0.847,0.5,5.8,6.2,4.5,0.8,1.2,3.1,1.6,26.3,
BRK (3 Yrs),,,,,129,126,4607,10.3,19.2,0.535,2.1,5.3,0.4,8.1,13.9,0.587,0.59,6.6,7.3,0.91,0.4,6.7,7.2,5.9,0.8,1.2,3.5,2.1,29.3,
HOU (1 Yr),,,,,57,57,2085,9.1,17.8,0.51,2.3,5.8,0.401,6.7,11.9,0.564,0.576,5.4,6,0.891,0.6,4.8,5.4,4.5,0.8,0.9,3.1,2,25.8,
