Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2011-12,19,CLE,NBA,PG,51,51,1558,8.1,17.3,0.469,1.7,4.2,0.399,6.4,13,0.491,0.517,4,4.5,0.872,1,3.4,4.4,6.4,1.2,0.5,3.7,2.5,21.8,ROY-1
2012-13,20,CLE,NBA,PG,59,59,2048,8.5,18.8,0.452,1.9,4.9,0.391,6.6,13.9,0.474,0.503,4.4,5.1,0.855,0.6,3.2,3.8,6.2,1.6,0.4,3.4,2.6,23.3,AS
2013-14,21,CLE,NBA,PG,71,71,2496,7.7,17.8,0.43,1.8,5,0.358,5.9,12.9,0.458,0.48,4.2,4.9,0.861,0.7,3,3.7,6.2,1.6,0.3,2.7,2.4,21.3,AS
2014-15,22,CLE,NBA,PG,75,75,2730,7.6,16.3,0.468,2.1,5,0.415,5.6,11.3,0.491,0.532,4.2,4.8,0.863,0.7,2.4,3.1,5.1,1.5,0.3,2.5,1.9,21.5,"AS,NBA3"
2015-16,23,CLE,NBA,PG,53,53,1667,8.5,19,0.448,1.8,5.7,0.321,6.7,13.3,0.502,0.496,3.6,4.1,0.885,1,2.4,3.4,5.4,1.2,0.4,2.7,2.3,22.5,
2016-17,24,CLE,NBA,PG,72,72,2525,9.6,20.2,0.473,2.5,6.3,0.401,7,14,0.505,0.535,4.2,4.7,0.905,0.7,2.5,3.3,6,1.2,0.3,2.6,2.2,25.9,AS
2017-18,25,BOS,NBA,PG,60,60,1931,10,20.3,0.491,3.1,7.6,0.408,6.9,12.7,0.541,0.568,4.3,4.9,0.889,0.6,3.6,4.2,5.7,1.2,0.3,2.6,2.3,27.3,AS
2018-19,26,BOS,NBA,PG,67,67,2214,9.8,20.2,0.487,2.8,7.1,0.401,7,13.1,0.533,0.557,3.5,4,0.873,1.2,4.3,5.4,7.5,1.7,0.6,2.8,2.7,26,"AS,NBA2"
2019-20,27,BRK,NBA,PG,20,20,658,10.9,22.8,0.478,3.1,7.8,0.394,7.8,15,0.522,0.546,5.1,5.6,0.922,1.2,4.4,5.6,7,1.5,0.5,2.8,2.9,30,
2020-21,28,BRK,NBA,PG,54,54,1886,10.5,20.7,0.506,2.9,7.2,0.402,7.6,13.5,0.561,0.576,3.8,4.2,0.922,1,3.9,4.9,6.2,1.5,0.7,2.5,2.7,27.7,"AS,NBA3"
2021-22,29,BRK,NBA,PG,29,29,1091,9.5,20.3,0.469,3.3,7.9,0.418,6.2,12.4,0.501,0.55,3.9,4.3,0.915,0.5,3.7,4.2,5.5,1.4,0.6,2.4,2.7,26.3,
2022-23,30,2TM,NBA,SG,60,60,2241,9.5,19.3,0.494,3,8,0.379,6.5,11.4,0.574,0.572,4,4.4,0.905,0.9,3.9,4.9,5.3,1.1,0.7,2.1,2.7,26.1,"CPOY-12,AS"
2022-23,30,BRK,NBA,PG,40,40,1478,9.7,19.9,0.486,3.2,8.5,0.374,6.5,11.5,0.569,0.565,3.8,4.4,0.883,0.9,4,5,5.1,1,0.8,2.2,2.7,26.4,
2022-23,30,DAL,NBA,SG,20,20,763,9.2,18.1,0.51,2.7,7,0.392,6.5,11.1,0.585,0.586,4.2,4.4,0.947,1,3.7,4.7,5.7,1.2,0.6,1.7,2.6,25.4,
2023-24,31,DAL,NBA,SG,58,58,2030,10,20.1,0.497,3.1,7.5,0.411,6.9,12.6,0.548,0.573,3.4,3.7,0.905,0.8,4.4,5.1,5.3,1.3,0.5,1.9,2,26.4,CPOY-7
2024-25,32,DAL,NBA,SG,50,50,1804,8.9,18.9,0.473,2.9,7.2,0.401,6,11.7,0.517,0.549,3.9,4.3,0.916,1.2,3.6,4.8,4.6,1.3,0.5,2.2,2,24.6,"CPOY-10,AS"
14 Yrs,,,,,779,779,26879,9.1,19.2,0.474,2.5,6.4,0.394,6.6,12.8,0.514,0.54,4,4.5,0.888,0.9,3.4,4.2,5.8,1.4,0.5,2.6,2.4,24.7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLE (6 Yrs),,,,,381,381,13024,8.3,18.2,0.457,2,5.2,0.383,6.3,13,0.486,0.512,4.1,4.7,0.873,0.8,2.8,3.6,5.8,1.4,0.3,2.8,2.3,22.8,
BRK (4 Yrs),,,,,143,143,5113,10.1,20.7,0.489,3.1,7.8,0.396,7,12.9,0.545,0.563,4,4.4,0.909,0.9,4,4.9,5.8,1.3,0.7,2.4,2.7,27.3,
DAL (3 Yrs),,,,,128,128,4597,9.4,19.3,0.49,2.9,7.3,0.404,6.5,12,0.542,0.566,3.7,4.1,0.917,1,4,4.9,5.1,1.3,0.5,2,2.1,25.5,
BOS (2 Yrs),,,,,127,127,4145,9.9,20.2,0.489,3,7.3,0.404,6.9,12.9,0.537,0.562,3.9,4.4,0.881,0.9,4,4.9,6.7,1.5,0.4,2.7,2.5,26.6,
