Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2009-10,21,GSW,NBA,PG,80,77,2896,6.6,14.2,0.462,2.1,4.7,0.437,4.5,9.5,0.474,0.535,2.2,2.5,0.885,0.6,3.8,4.4,5.9,1.9,0.2,3,3.1,17.4,ROY-2
2010-11,22,GSW,NBA,PG,74,74,2489,7.3,15.2,0.48,2.2,4.9,0.442,5.1,10.3,0.498,0.551,3.1,3.3,0.934,0.8,3.4,4.1,6.2,1.6,0.3,3.3,3.4,19.9,
2011-12,23,GSW,NBA,PG,26,23,732,7.1,14.6,0.49,2.7,6,0.455,4.4,8.6,0.514,0.583,1.9,2.3,0.809,0.7,3.6,4.3,6.8,1.9,0.4,3.2,3,18.8,
2012-13,24,GSW,NBA,PG,78,78,2983,7.6,16.8,0.451,3.3,7.2,0.453,4.3,9.5,0.449,0.549,3.2,3.5,0.9,0.7,3.1,3.8,6.5,1.5,0.1,2.9,2.4,21.6,MVP-11
2013-14,25,GSW,NBA,PG,78,78,2846,8.2,17.5,0.471,3.3,7.8,0.424,4.9,9.7,0.509,0.566,3.9,4.4,0.885,0.6,3.6,4.2,8.4,1.6,0.2,3.7,2.5,23.7,"MVP-6,AS,NBA2"
2014-15,26,GSW,NBA,PG,80,80,2613,9,18.5,0.487,3.9,8.9,0.443,5.1,9.6,0.528,0.594,4.2,4.6,0.914,0.8,3.9,4.7,8.5,2.2,0.2,3.4,2.2,26.2,"MVP-1,AS,NBA1"
2015-16,27,GSW,NBA,PG,79,79,2700,10.7,21.3,0.504,5.4,11.8,0.454,5.4,9.5,0.566,0.63,4.8,5.3,0.908,0.9,4.8,5.7,7,2.3,0.2,3.5,2.1,31.7,"MVP-1,AS,NBA1"
2016-17,28,GSW,NBA,PG,79,79,2638,9.2,19.7,0.468,4.4,10.8,0.411,4.8,8.9,0.537,0.58,4.4,4.9,0.898,0.8,4,4.8,7.2,1.9,0.2,3.3,2.5,27.3,"MVP-6,AS,NBA2"
2017-18,29,GSW,NBA,PG,51,51,1631,9.4,19.1,0.495,4.7,11.1,0.423,4.8,8,0.595,0.618,6.1,6.7,0.921,0.8,5,5.8,6.8,1.8,0.2,3.4,2.5,29.7,"MVP-10,AS,NBA3"
2018-19,30,GSW,NBA,PG,69,69,2331,9.8,20.7,0.472,5.5,12.5,0.437,4.3,8.2,0.525,0.604,4.1,4.4,0.916,0.7,5,5.7,5.6,1.4,0.4,3,2.6,29.1,"MVP-5,AS,NBA1"
2019-20,31,GSW,NBA,PG,5,5,139,8.5,21.2,0.402,3.1,12.7,0.245,5.4,8.5,0.636,0.476,6.7,6.7,1,1,5.7,6.7,8.5,1.3,0.5,4.1,2.8,26.9,
2020-21,32,GSW,NBA,PG,63,63,2152,11,22.8,0.482,5.6,13.4,0.421,5.4,9.4,0.569,0.605,6.1,6.6,0.916,0.5,5.3,5.8,6.1,1.3,0.1,3.6,2,33.7,"MVP-3,AS,NBA1"
2021-22,33,GSW,NBA,PG,64,64,2211,8.7,19.9,0.437,4.6,12.2,0.38,4.1,7.7,0.527,0.554,4.5,4.9,0.923,0.6,4.9,5.5,6.6,1.4,0.4,3.4,2.1,26.5,"MVP-8,AS,NBA2"
2022-23,34,GSW,NBA,PG,56,56,1941,10.4,21,0.493,5.1,11.9,0.427,5.3,9.2,0.579,0.614,4.8,5.2,0.915,0.7,5.6,6.3,6.5,1,0.4,3.3,2.2,30.6,"MVP-9,CPOY-9,AS,NBA2"
2023-24,35,GSW,NBA,PG,74,74,2421,9.7,21.5,0.45,5.3,13,0.408,4.4,8.5,0.515,0.573,4.4,4.8,0.923,0.6,4.4,4.9,5.6,0.8,0.4,3.1,1.7,29.1,"CPOY-1,AS,NBA3"
2024-25,36,GSW,NBA,PG,70,70,2252,9,20.1,0.448,5,12.5,0.397,4,7.6,0.534,0.572,4.5,4.8,0.933,0.6,4.3,5,6.7,1.3,0.5,3.2,1.5,27.5,"MVP-9,CPOY-5,AS,NBA2"
2025-26,37,GSW,NBA,PG,39,39,1222,10.3,21.9,0.468,5.2,13.2,0.391,5.1,8.7,0.584,0.585,5.6,6,0.931,0.5,3.6,4.1,5.6,1.3,0.5,3.3,2.2,31.3,AS
17 Yrs,,,,,1065,1059,36197,8.9,19,0.471,4.2,10,0.422,4.7,9,0.526,0.582,4.2,4.6,0.912,0.7,4.2,4.9,6.7,1.6,0.3,3.3,2.4,26.3,
